GROUP,TEAM,ISOALPHA3,STICKER_NUM,STICKER_CODE,LATENGO
GROUP B,QATAR,QAT,9,QAT9,TRUE
GROUP B,QATAR,QAT,10,QAT10,TRUE
GROUP B,QATAR,QAT,11,QAT11,TRUE
GROUP B,QATAR,QAT,12,QAT12,FALSE
GROUP B,QATAR,QAT,13,QAT13,TRUE
GROUP B,QATAR,QAT,14,QAT14,TRUE
GROUP B,QATAR,QAT,15,QAT15,TRUE
GROUP B,QATAR,QAT,16,QAT16,TRUE
GROUP B,QATAR,QAT,17,QAT17,FALSE
GROUP B,QATAR,QAT,18,QAT18,TRUE
GROUP B,QATAR,QAT,19,QAT19,FALSE
GROUP B,QATAR,QAT,20,QAT20,TRUE
GROUP B,SWITZERLAND,SUI,1,SUI1,FALSE
GROUP B,SWITZERLAND,SUI,2,SUI2,TRUE
GROUP B,SWITZERLAND,SUI,3,SUI3,TRUE
GROUP B,SWITZERLAND,SUI,4,SUI4,TRUE
GROUP B,SWITZERLAND,SUI,5,SUI5,TRUE
GROUP B,SWITZERLAND,SUI,6,SUI6,FALSE
GROUP B,SWITZERLAND,SUI,7,SUI7,TRUE
GROUP B,SWITZERLAND,SUI,8,SUI8,TRUE
GROUP B,SWITZERLAND,SUI,9,SUI9,TRUE
GROUP B,SWITZERLAND,SUI,10,SUI10,FALSE
GROUP B,SWITZERLAND,SUI,11,SUI11,TRUE
GROUP B,SWITZERLAND,SUI,12,SUI12,TRUE
GROUP B,SWITZERLAND,SUI,13,SUI13,TRUE
GROUP B,SWITZERLAND,SUI,14,SUI14,TRUE
GROUP B,SWITZERLAND,SUI,15,SUI15,TRUE
GROUP B,SWITZERLAND,SUI,16,SUI16,TRUE
GROUP B,SWITZERLAND,SUI,17,SUI17,TRUE
GROUP B,SWITZERLAND,SUI,18,SUI18,TRUE
GROUP B,SWITZERLAND,SUI,19,SUI19,TRUE
GROUP B,SWITZERLAND,SUI,20,SUI20,TRUE
GROUP C,Brasil,BRA,1,BRA1,TRUE
GROUP C,Brasil,BRA,2,BRA2,TRUE
GROUP C,Brasil,BRA,3,BRA3,TRUE
GROUP C,Brasil,BRA,4,BRA4,TRUE
GROUP C,Brasil,BRA,5,BRA5,FALSE
GROUP C,Brasil,BRA,6,BRA6,TRUE
GROUP C,Brasil,BRA,7,BRA7,TRUE
GROUP C,Brasil,BRA,8,BRA8,TRUE
GROUP C,Brasil,BRA,9,BRA9,FALSE
GROUP C,Brasil,BRA,10,BRA10,FALSE
GROUP C,Brasil,BRA,11,BRA11,FALSE
GROUP C,Brasil,BRA,12,BRA12,TRUE
GROUP C,Brasil,BRA,13,BRA13,TRUE
GROUP C,Brasil,BRA,14,BRA14,TRUE
GROUP C,Brasil,BRA,15,BRA15,TRUE
GROUP C,Brasil,BRA,16,BRA16,FALSE
GROUP C,Brasil,BRA,17,BRA17,FALSE
GROUP C,Brasil,BRA,18,BRA18,TRUE
GROUP C,Brasil,BRA,19,BRA19,FALSE
GROUP C,Brasil,BRA,20,BRA20,TRUE
GROUP C,Haiti,HAI,1,HAI1,FALSE
GROUP C,Haiti,HAI,2,HAI2,TRUE
GROUP C,Haiti,HAI,3,HAI3,TRUE
GROUP C,Haiti,HAI,4,HAI4,TRUE
GROUP C,Haiti,HAI,5,HAI5,FALSE
GROUP C,Haiti,HAI,6,HAI6,TRUE
GROUP C,Haiti,HAI,7,HAI7,TRUE
GROUP C,Haiti,HAI,8,HAI8,TRUE
GROUP C,Haiti,HAI,9,HAI9,TRUE
GROUP C,Haiti,HAI,10,HAI10,TRUE
GROUP C,Haiti,HAI,11,HAI11,TRUE
GROUP C,Haiti,HAI,12,HAI12,FALSE
GROUP C,Haiti,HAI,13,HAI13,TRUE
GROUP C,Haiti,HAI,14,HAI14,TRUE
GROUP C,Haiti,HAI,15,HAI15,TRUE
GROUP C,Haiti,HAI,16,HAI16,TRUE
GROUP C,Haiti,HAI,17,HAI17,TRUE
GROUP C,Haiti,HAI,18,HAI18,TRUE
GROUP C,Haiti,HAI,19,HAI19,TRUE
GROUP C,Haiti,HAI,20,HAI20,TRUE
GROUP C,Marruecos,MAR,1,MAR1,FALSE
GROUP C,Marruecos,MAR,2,MAR2,TRUE
GROUP C,Marruecos,MAR,3,MAR3,TRUE
GROUP C,Marruecos,MAR,4,MAR4,TRUE
GROUP C,Marruecos,MAR,5,MAR5,TRUE
GROUP C,Marruecos,MAR,6,MAR6,TRUE
GROUP C,Marruecos,MAR,7,MAR7,FALSE
GROUP C,Marruecos,MAR,8,MAR8,TRUE
GROUP C,Marruecos,MAR,9,MAR9,TRUE
GROUP C,Marruecos,MAR,10,MAR10,FALSE
GROUP C,Marruecos,MAR,11,MAR11,TRUE
GROUP C,Marruecos,MAR,12,MAR12,FALSE
GROUP C,Marruecos,MAR,13,MAR13,TRUE
GROUP C,Marruecos,MAR,14,MAR14,TRUE
GROUP C,Marruecos,MAR,15,MAR15,TRUE
GROUP C,Marruecos,MAR,16,MAR16,TRUE
GROUP C,Marruecos,MAR,17,MAR17,TRUE
GROUP C,Marruecos,MAR,18,MAR18,TRUE
GROUP C,Marruecos,MAR,19,MAR19,TRUE
GROUP C,Marruecos,MAR,20,MAR20,TRUE
GROUP C,Scotland,SCO,1,SCO1,TRUE
GROUP C,Scotland,SCO,2,SCO2,TRUE
GROUP C,Scotland,SCO,3,SCO3,FALSE
GROUP C,Scotland,SCO,4,SCO4,TRUE
GROUP C,Scotland,SCO,5,SCO5,TRUE
GROUP C,Scotland,SCO,6,SCO6,TRUE
GROUP C,Scotland,SCO,7,SCO7,FALSE
GROUP C,Scotland,SCO,8,SCO8,TRUE
GROUP C,Scotland,SCO,9,SCO9,TRUE
GROUP C,Scotland,SCO,10,SCO10,TRUE
GROUP C,Scotland,SCO,11,SCO11,TRUE
GROUP C,Scotland,SCO,12,SCO12,TRUE
GROUP C,Scotland,SCO,13,SCO13,TRUE
GROUP C,Scotland,SCO,14,SCO14,TRUE
GROUP C,Scotland,SCO,15,SCO15,TRUE
GROUP C,Scotland,SCO,16,SCO16,TRUE
GROUP C,Scotland,SCO,17,SCO17,TRUE
GROUP C,Scotland,SCO,18,SCO18,FALSE
GROUP C,Scotland,SCO,19,SCO19,TRUE
GROUP C,Scotland,SCO,20,SCO20,TRUE
GROUP D,Australia,AUS,1,AUS1,FALSE
GROUP D,Australia,AUS,2,AUS2,FALSE
GROUP D,Australia,AUS,3,AUS3,FALSE
GROUP D,Australia,AUS,4,AUS4,FALSE
GROUP D,Australia,AUS,5,AUS5,FALSE
GROUP D,Australia,AUS,6,AUS6,FALSE
GROUP D,Australia,AUS,7,AUS7,FALSE
GROUP D,Australia,AUS,8,AUS8,FALSE
GROUP D,Australia,AUS,9,AUS9,FALSE
GROUP D,Australia,AUS,10,AUS10,FALSE
GROUP D,Australia,AUS,11,AUS11,FALSE
GROUP D,Australia,AUS,12,AUS12,TRUE
GROUP D,Australia,AUS,13,AUS13,FALSE
GROUP D,Australia,AUS,14,AUS14,FALSE
GROUP D,Australia,AUS,15,AUS15,FALSE
GROUP D,Australia,AUS,16,AUS16,TRUE
GROUP D,Australia,AUS,17,AUS17,FALSE
GROUP D,Australia,AUS,18,AUS18,TRUE
GROUP D,Australia,AUS,19,AUS19,FALSE
GROUP D,Australia,AUS,20,AUS20,TRUE
GROUP D,Paraguay,PAR,1,PAR1,FALSE
GROUP D,Paraguay,PAR,2,PAR2,FALSE
GROUP D,Paraguay,PAR,3,PAR3,FALSE
GROUP D,Paraguay,PAR,4,PAR4,TRUE
GROUP D,Paraguay,PAR,5,PAR5,TRUE
GROUP D,Paraguay,PAR,6,PAR6,TRUE
GROUP D,Paraguay,PAR,7,PAR7,TRUE
GROUP D,Paraguay,PAR,8,PAR8,FALSE
GROUP D,Paraguay,PAR,9,PAR9,TRUE
GROUP D,Paraguay,PAR,10,PAR10,TRUE
GROUP D,Paraguay,PAR,11,PAR11,TRUE
GROUP D,Paraguay,PAR,12,PAR12,TRUE
GROUP D,Paraguay,PAR,13,PAR13,FALSE
GROUP D,Paraguay,PAR,14,PAR14,FALSE
GROUP D,Paraguay,PAR,15,PAR15,TRUE
GROUP D,Paraguay,PAR,16,PAR16,TRUE
GROUP D,Paraguay,PAR,17,PAR17,FALSE
GROUP D,Paraguay,PAR,18,PAR18,TRUE
GROUP D,Paraguay,PAR,19,PAR19,FALSE
GROUP D,Paraguay,PAR,20,PAR20,FALSE
GROUP D,Turkey,TUR,1,TUR1,FALSE
GROUP D,Turkey,TUR,2,TUR2,FALSE
GROUP D,Turkey,TUR,3,TUR3,FALSE
GROUP D,Turkey,TUR,4,TUR4,FALSE
GROUP D,Turkey,TUR,5,TUR5,FALSE
GROUP D,Turkey,TUR,6,TUR6,FALSE
GROUP D,Turkey,TUR,7,TUR7,FALSE
GROUP D,Turkey,TUR,8,TUR8,TRUE
GROUP D,Turkey,TUR,9,TUR9,FALSE
GROUP D,Turkey,TUR,10,TUR10,FALSE
GROUP D,Turkey,TUR,11,TUR11,FALSE
GROUP D,Turkey,TUR,12,TUR12,FALSE
GROUP D,Turkey,TUR,13,TUR13,FALSE
GROUP D,Turkey,TUR,14,TUR14,FALSE
GROUP D,Turkey,TUR,15,TUR15,FALSE
GROUP D,Turkey,TUR,16,TUR16,FALSE
GROUP D,Turkey,TUR,17,TUR17,FALSE
GROUP D,Turkey,TUR,18,TUR18,FALSE
GROUP D,Turkey,TUR,19,TUR19,FALSE
GROUP D,Turkey,TUR,20,TUR20,FALSE
GROUP D,United States,USA,1,USA1,TRUE
GROUP D,United States,USA,2,USA2,TRUE
GROUP D,United States,USA,3,USA3,TRUE
GROUP D,United States,USA,4,USA4,TRUE
GROUP D,United States,USA,5,USA5,FALSE
GROUP D,United States,USA,6,USA6,TRUE
GROUP D,United States,USA,7,USA7,TRUE
GROUP D,United States,USA,8,USA8,FALSE
GROUP D,United States,USA,9,USA9,FALSE
GROUP D,United States,USA,10,USA10,TRUE
GROUP D,United States,USA,11,USA11,TRUE
GROUP D,United States,USA,12,USA12,TRUE
GROUP D,United States,USA,13,USA13,TRUE
GROUP D,United States,USA,14,USA14,TRUE
GROUP D,United States,USA,15,USA15,FALSE
GROUP D,United States,USA,16,USA16,TRUE
GROUP D,United States,USA,17,USA17,TRUE
GROUP D,United States,USA,18,USA18,TRUE
GROUP D,United States,USA,19,USA19,TRUE
GROUP D,United States,USA,20,USA20,FALSE
GROUP E,Cote de Ivore,CIV,1,CIV1,TRUE
GROUP E,Cote de Ivore,CIV,2,CIV2,TRUE
GROUP E,Cote de Ivore,CIV,3,CIV3,TRUE
GROUP E,Cote de Ivore,CIV,4,CIV4,FALSE
GROUP E,Cote de Ivore,CIV,5,CIV5,TRUE
GROUP E,Cote de Ivore,CIV,6,CIV6,TRUE
GROUP E,Cote de Ivore,CIV,7,CIV7,TRUE
GROUP E,Cote de Ivore,CIV,8,CIV8,TRUE
GROUP E,Cote de Ivore,CIV,9,CIV9,TRUE
GROUP E,Cote de Ivore,CIV,10,CIV10,TRUE
GROUP E,Cote de Ivore,CIV,11,CIV11,FALSE
GROUP E,Cote de Ivore,CIV,12,CIV12,TRUE
